movieId,genre
H1,"
                "
H1,Dram
H1,"
            "
H3,Dram
H7,Dram
H8,Dram
H9,Susp
H10,Susp
H11,Susp
H12,Susp
H13,Susp
H14,Romt
H15,Susp
H16,Susp
H17,Susp
H18,Musc
H19,Susp
H20,Myst
H21,Dram
H22,susp
H23,Myst
H24,Susp
H25,Romt
H25,Comd
H26,Susp
H27,Susp
H28,Susp
H29,Susp
H30,Susp
H31,Susp
H32,Dram
H33,Dram
H34,Susp
H35,Romt
H36,Susp
H37,Susp
H38,Susp
H39,Susp
H42,Susp
H43,Susp
H44,Susp
H45,Susp
H46,Dram
H47,Susp
H48,Susp
H49,Susp
H50,Susp
H51,Susp
H52,Susp
H53,Susp
H57,Susp
H61,Susp
H61,Docu
H65,Susp
H69,Susp
H73,Susp
H79,Susp
H80,Susp
H81,Susp
H82,Susp
H83,Susp
H84,Susp
H40,Advt
H41,Advt
H54,Susp
H55,Susp
H56,Susp
H58,Susp
H59,Susp
H60,Susp
H62,Susp
H63,Susp
H64,Susp
H66,Susp
H67,Susp
H68,Susp
H70,Susp
H71,Susp
H72,Susp
H74,Susp
H75,Susp
H76,Susp
H77,Susp
H78,Susp
WKD10,Docu
WKD50,Comd
ALu2,Docu
ALu3,Docu
ALu5,Comd
ALu6,Docu
ALu30,Actn
ESP9,Comd
ESP10,Comd
ESP11,West
ESP12,West
ESP25,Dram
ESP26,Dram
ESP27,Dram
ESP28,Dram
ESP40,Dram
GMs4,"Fant "
GMs6,ScFi
GMs6,Cart
GMs8,ScFi
GMs20,Fant
AMv10,Dram
WRB10,Fant
CPa50,Dram
WHa1,Horr
WHa8,BioP
WMc10,Advt
ThE10,Musc
ThE10,BioP
JaC1,Advt
JaC10,West
JaC15,West
JaC20,West
JaC23,West
JaC25,Advt
JaC28,Musc
GKS60,West
LMi1,Hist
LMi5,Hist
LMi23,Dram
LMi25,Dram
LMi35,Dram
DWG7,Dram
DWG8,Dram
DWG9,Dram
DWG10,BioP
DWG11,Comd
DWG15,West
DWG27,Dram
DWG40,BioP
DWG49,West
DWG50,Dram
DWG51,Epic
DWG52,Epic
DWG52,Dram
DWG55,Dram
DWG57,Dram
DWG58,Romt
DWG64,Dram
DWG67,Epic
DWG71,West
DWG71,Dram
DWG72,Dram
DWG72,Docu
DWG80,BioP
Z0210,Romt
Z0220,Romt
Z0230,Romt
Z0240,Romt
Z0250,Romt
Z0260,Romt
Z0270,Romt
EiC10,Cart
GdL10,Hist
MCs2,Dram
MCs3,Dram
MCs10,Dram
WMk10,Cart
FkP10,Romt
GlS10,Dram
ISB10,Biop
ThB10,Dram
ThB30,Dram
ThB55,Dram
UgF10,Dram
UgF12,Romt
APv11,Advt
AuB10,Dram
ThI10,West
ThI18,West
ThI33,West
ThI40,Fant
ThI65,West
UrG10,Dram
WmH10,Dram
ADw5,Dram
ADw6,Dram
ADw17,Advt
ADw22,Advt
ADw27,Romt
ADw35,Romt
ADw40,Dram
ADw45,Actn
ADw52,Musc
ADw60,Actn
ADw70,West
ADw72,West
ADw75,West
ADw78,Advt
ADw80,Dram
AEG37,Dram
AEG41,Dram
AEG50,Myst
AEG60,BioP
AEG60,Musc
AEG70,BioP
AEG70,Musc
JCw41,"Comd "
JCw44,Romt
JCw50,Comd
JCw53,Dram
JCw57,Epic
JCw61,Dram
JCw62,Romt
JDu10,Comd
MaT10,CnRb
MaT25,Dram
MaT27,Dram
MaT40,CnRb
LMe10,BioP
LoW3,Dram
LoW5,Dram
LoW11,Musc
ME180,Susp
ME240,Susp
MSe10,Comd
MSe15,Comd
MSe18,Comd
MSt30,Comd
MSt30,Dram
MSt40,Romt
MSt53,Dram
SiO10,Hist
SiO30,Hist
VSj1,Dram
VSj6,Dram
VSj7,BioP
VSj8,Dram
Z1210,CnRb
Z1220,CnRb
Z1230,CnRb
ElR10,Dram
NOx20,Romt
AcG10,DRam
BuG10,West
CDM0,Musc
CDM1,West
CDM3,Dram
CDM5,Dram
CDM6,Dram
CDM7,Dram
CDM9,Dram
CDM15,Dram
CDM17,Dram
CDM18,Dram
CDM19,Dram
CDM22,Dram
CDM32,West
CDM40,Romt
CDM45,Epic
CDM51,Epic
CDM55,Dram
CDM56,Epic
CDM59,Dram
CDM64,West
CDM68,Epic
CDM68,Advt
CDM75,Epic
CDM77,Epic
CDM78,Epic
CDM78,Romt
CDM79,Epic
CDM80,Epic
EGz10,Dram
GBS10,Dram
GBS20,Dram
GBS30,Dram
GBS40,Dram
GBS42,Docu
GBS90,Dram
GBS92,Dram
GBS92,West
GBS93,Dram
GBS95,Dram
GBS96,Dram
GBS97,Dram
GBS98,Dram
GBS100,Dram
GBS102,Dram
GBS103,Dram
GBS110,Comd
GBS115,West
GBS120,Dram
GBS130,Comd
GBS132,Comd
GBS140,Dram
GBS144,Comd
GBS145,Comd
GBS150,Comd
BHd10,Dram
DGP1,Dram
HBn5,Actn
HBn8,Fant
HBn25,Romt
HBn30,Actn
HBn40,Actn
HHS1,Dram
HHS3,Dram
HHS6,Dram
HHS8,Dram
HHS9,Docu
HHS12,Docu
HHS13,Docu
HHS14,Docu
HHS15,Docu
HHS16,Docu
HHS22,Docu
HHS24,Docu
HHS26,Docu
HHS28,Docu
HHS36,Docu
HHS38,Docu
HHS48,Docu
HHS50,Docu
Z4210,Advt
Z4215,Advt
