id,title,director,year
H1,Always Tell Your Wife,Hitchcock,1922
H2,Number Thirteen,Hitchcock,1922
H3,Woman to Woman,Hitchcock,1922
H4,The Passionate Adventure,Hitchcock,1924
H5,The Blackguard,Hitchcock,1925
H7,The Pleasure Garden,Hitchcock,19251927
H8,The Mountain Eagle,Hitchcock,19261927
H9,The Lodger: A Story of The London Fog,Hitchcock,19261927
H10,Downhill,Hitchcock,1927
H11,Easy Virtue,Hitchcock,1927
H12,The Ring,Hitchcock,1927
H13,The Farmer's Wife,Hitchcock,1928
H14,Champagne,Hitchcock,1928
H15,Harmony Heaven,Hitchcock,1929
H16,The Manxman,Hitchcock,1929
H17,Blackmail,Hitchcock,1929
H18,Elstree Calling,Hitchcock,1929
H19,Juno And The Paycock,Hitchcock,1930
H20,Murder!,Hitchcock,1930
H21,The Skin Game,Hitchcock,1931
H22,Rich and Strange,Hitchcock,1932
H23,Number Seventeen,Hitchcock,1932
H24,Lord Camber's Ladies,Hitchcock,1932
H25,Waltzes From Vienna,Hitchcock,1933
H26,The Man Who Knew Too Much,Hitchcock,1934
H27,The 39 Steps,Hitchcock,1935
H28,Secret Agent,Hitchcock,1936
H29,Sabotage,Hitchcock,1936
H30,Young and Innocent,Hitchcock,1938
H31,The Lady Vanishes,Hitchcock,1938
H32,Jamaica Inn,Hitchcock,1939
H33,Rebecca,Hitchcock,1940
H34,Foreign Correspondent,Hitchcock,1940
H35,Mr.~and Mrs.~Smith,Hitchcock,1941
H36,Suspicion,Hitchcock,1941
H37,Saboteur,Hitchcock,1942
H38,Shadow of a Doubt,Hitchcock,1943
H39,Lifeboat,Hitchcock,1943
H42,Spellbound,Hitchcock,1945
H43,Notorious,Hitchcock,1946
H44,The Paradine Case,Hitchcock,1947
H45,Rope,Hitchcock,1948
H46,Under Capricorn,Hitchcock,1949
H47,Stage Fright,Hitchcock,1950
H48,Strangers on a Train,Hitchcock,1951
H49,I Confess,Hitchcock,1952
H50,Dial M for Murder,Hitchcock,1954
H51,Rear Window,Hitchcock,1954
H52,To Catch a Thief,Hitchcock,1955
H53,The Trouble with Harry,Hitchcock,1956
H57,The Man Who Knew Too Much,Hitchcock,1956
H61,The Wrong Man,Hitchcock,1957
H65,Vertigo,Hitchcock,1958
H69,North by Northwest,Hitchcock,1959
H73,Psycho,Hitchcock,1960
H79,The Birds,Hitchcock,1963
H80,Marnie,Hitchcock,1964
H81,Torn Curtain,Hitchcock,1966
H82,Topaz,Hitchcock,1969
H83,Frenzy,Hitchcock,1972
H84,Family Plot,Hitchcock,1976
H40,Aventure Malgache,Hitchcock,1944
H41,Bon Voyage,Hitchcock,1944
H54,Revenge,Hitchcock,1955
H55,Breakdown,Hitchcock,1955
H56,The Case of Mr.~Pelham,Hitchcock,1955
H58,Back For Christmas,Hitchcock,1956
H59,Wet Saturday,Hitchcock,1956
H60,Mr.~Blanchhard's Secret,Hitchcock,1956
H62,One More Mile To Go,Hitchcock,1957
H63,Four O'Clock,Hitchcock,1957
H64,The Perfect Crime,Hitchcock,1957
H66,Lamb To The Slaughter,Hitchcock,1958
H67,A Dip In The Pool,Hitchcock,1958
H68,Poison,Hitchcock,1958
H70,Banquo's Chair,Hitchcock,1959
H71,Arthur,Hitchcock,1959
H72,The Crystal Trench,Hitchcock,1959
H74,Incident at a Corner,Hitchcock,1960
H75,Mrs.~Bixby and The Colonel's Coat,Hitchcock,1960
H76,The Horseplayer,Hitchcock,1961
H77,Bang! You're Dead,Hitchcock,1961
H78,I Saw The Whole Thing,Hitchcock,1962
WKD10,The Edison Kinetopic Record of A Sneeze,Dickson,1893
WKD50,"Terrible Teddy, the Grizzly King",Dickson,1901
ALu1,La Premiere Seance du Salon Indien au Grand Caf\'e,A.Lumiere,1895
ALu2,La Sortie des Usines Lumi\`ere,A.Lumiere,1895
ALu3,Arriv\'ee d'un train en G\^are de la Ciatat,A.Lumiere,1895
ALu4,Le Gouter de B\'eb\'e,A.Lumiere,1895
ALu5,L'Arroseur arross\'e,A.Lumiere,1895
ALu6,Barque Quittant le Port,A.Lumiere,1895
ALu7,Boules,A.Lumiere,1895
ALu30,L'assissinatat du Duc de Guise,A.Lumiere,1908
