stagename,dateOfBirth
Willie Aames,1960
Bud Abbott,1895
Diahnne Abbott,
George Abbott,1887
John Abbott,1905
Philip Abbott,1923
Kareem AbdulJabbar,
Walter Abel,1898
F.Murray Abraham,
James Abrahams,
Maury Abram,
Victoria Abril,
Joss Ackland,1928
Dan Ackroyd,
David Ackroyd,1940
Peter Ackroyd,
Rodolfo Acosta,1920
Eddie Acuff,1902
Jean Adair,1872
Alfred Adam,1909
Ronald Adam,1896
John Adames,
Beverly Adams,1945
Brooke Adams,1949
Catlin Adams,1950
Dorothy Adams,1915
Edie Adams,1929
Jane Adams,1921
Jill Adams,1931
Julie Adams,1926
Maud Adams,1950
Nick Adams,1931
Robert Adams,1906
Sam Adams,
Tome Adams,1938
Dawn Addams,1930
Wesley Addy,1912
Isabelle Adjani,1955
Jay Adler,1899
Luther Adler,1903
Renee Adoree,1898
Mario Adorf,1930
Max Adrian,1902
Ben Affleck,
Casey Affleck,
John Agar,1921
Rati Agnihotri,1960
Jenny Agutter,1952
Brian Aherne,1902
Philip Ahn,1911
Anouk Aimee,1932
Richard Ainley,1910
Maria Aitkins,
Franklyn Ajaye,1949
Muriel Aked,1887
Claude Akins,1918
Serap Aksoy,
Josh Albee,
Anna Maria Alberghetti,1936
Han Albers,1892
Eddie Albert,1908
Edward Albert,1951
Edward Albert~jr.,
William Albert,
Frank Albertson,1907
Jack Albertson,1907
Mabel Albertson,1901
Hardie Albright,1903
Lola Albright,1925
Alan Alda,1936
Robert Alda,1914
Rutanya Alda,
John Alderton,1940
Vera Alentova,
Ben Alexander,1911
Jane Alexander,1939
John Alexander,1901
Katherine Alexander,1901
Ross Alexander,1907
Sandy Alexander,
Terence Alexander,1923
Hope AlexanderWells,
Muhammed Ali,1942
Dorothy Alison,1925
Andrea Allan,
Elizabeth Allan,1908
William Alland,1916
Chesney Allen,1894
Catherine Allegret,
Elizabeth Allen,1934
Fred Allen,1894
Gracie Allen,1902
Karen Allen,1955
Nancy Allen,1954
Patrick Allen,1927
Rae Allen,
Steve Allen,1921
Woody Allen,1935
Joseph Allen~jr.,
Kirstie Alley,
Sara Allgood,1883
Claud Allister,1891
Astrid Allwyn,1909
June Allyson,1917
Pedro Almodovar,
Maria Conchita Alonso,
Corinne Alphen,
Kirk Alyn,1910
Betty Amann,
Leonora Amar,
Don Ameche,1908
Lucio Amelio,
Leon Ames,1903
Ramsay Ames,1919
Suzy Amis,1962
John Amos,
John Amplas,
Dev Anand,
Glenn Anders,1889
Luana Anders,1949
Merry Anders,1932
Bridgette Andersen,
Bibi Anderson,
E. Erich Anderson,
Rochester,1905
G.M. Anderson,1882
Harriet Anderson,
Herbert Anderson,1917
Ingrid Anderson,
Jean Anderson,1908
John Anderson,1922
Judith Anderson,1898
Lindsay Anderson,1923
Loni Anderson,1947
Mary Anderson,1920
Melissa Sue Anderson,
Michael Anderson~jr.,1943
Richard Anderson,1926
Rona Anderson,1926
Warner Anderson,1911
Bibi Andersson,1935
Harriet Andersson,1932
Carole Andre,
Gabe Andre,
Fr\'ed\'ric Andrei,
Ursula Andress,1936
Anthony Andrews,1948
Brian Andrews,
Dana Andrews,1909
Eamonn Andrews,
Edward Andrews,1914
Harry Andrews,1911
Julie Andrews,1934
The Andrews Sisters,n.a.
Stanley Andrews,1892
Heather Angel,1909
Pier Angeli,1932
The Hells Angels,
Maya Angelou,1929
Muriel Angelus,1909
Ivy Angustain,
Evelyn Ankers,1918
Morris Ankrum,1896
Francesca Annis,1944
AnnMargret,1941
Michael Ansara,1922
Karen Anspach,
Susan Anspach,1939
Adam Ant,
Lysette Anthony,
Michael Anthony,
Susan Anton,
Laura Antonelli,
Lou Antonio,
Scott Antony,1950
Aquanetta,1920
Alfonso Arau,
Roscoe Arbuckle,1887
Allan Arbus,
Anne Archer,
Fanny Ardant,1949
Eve Arden,1912
Carmen Argenziano,
Adam Arkin,
Alan Arkin,1934
David Arkin,
Richard Arlen,1898
Arletty,1898
George Arliss,1868
Pedro Armendariz,1912
Henry Armetta,1888
Bess Armstrong,
Curtis Armstrong,
Louis Armstrong,1900
R.G. Armstrong,1920
Robert Armstrong,1890
Todd Armstrong,1939
Yvonne Arnaud,1892
Lucie Arnaz,1951
Desi Arnaz,1915
Desi Arnaz~jr.,1953
Peter Arne,1920
James Arness,1923
Jeanetta Arnette,
Edward Arnold,1890
Mark Arnott,
Charles Arnt,1908
Rosanna Arquette,
Antonin Artaud,1895
Beatrice Arthur,1923
George K. Arthur,1899
Jean Arthur,1905
Linda Arvidson,1884
Leslie Ash,
Peggy Ashcroft,1907
Jane Asher,1946
Ren\`ee Asherson,1920
Edward Ashley,1904
Elizabeth Ashley,1939
Jennifer Ashley,
John Ashley,
Gregoire Asian,
Luke Askew,
Arthur Askey,1900
Ed Asner,1929
Chuck Aspegren,
Armand Assante,
Asta,
Adele Astaire,
Fred Astaire,1899
Nils Asther,1897
John Astin,1930
Patty Duke Astin,1946
Gertrude Astor,1887
Mary Astor,1906
William Atherton,1947
Christopher Atkins,1961
Eileen Atkins,1934
Kiyoshi Atsumi,1928
Richard Attenborough,1923
Malcolm Atterbury,1907
Edith Atwater,1911
Lionel Atwill,1885
Kim Atwood,
Brigitte Auber,
Rene Auberjonois,1940
Lenore Aubert,1913
Cecile Aubry,1929
Joss Auckland,
Michael Auclair,1922
Maxine Audley,1923
Stephane Audran,1932
Audrey,
Mischa Auer,1905
Claudine Auger,1942
Marie Ault,1870
JeanPierre Aumont,1909
John Austin,
Daniel Auteuil,
Gene Autry,1907
Frankie Avalon,1939
Luis Avalos,
Doe Avedon,1928
Brian Avery,
Margaret Avery,
Nina Axelrod,
Hoyt Axton,
George Ayer,
Dan Aykroyd,
Felix Aylmer,1889
Agnes Ayres,1896
Gregg Ayres,
Lew Ayres,1908
Robert Ayres,1914
Randle Ayrton,1869
Shabana Azmi,
Charles Aznavour,1924
Candy Azzara,
Hank Azaria,1964
Lauren Bacall,1924
Barbara Bach,1951
Pamela Bach,1962
Amitabh Bachchan,1942
Jim Backus,1913
Kevin Bacon,
Hermione Baddeley,
Alan Badel,1923
Buddy Baer,1915
Harry Baer,
Max Baer,1909
Pearl Bailey,1918
Barbara Bain,1932
Fay Bainter,1892
Scott Baio,1961
Blanche Baker,
Carrol Baker,1931
Diane Baker,1936
Hylda Baker,1909
Joe Don Baker,1943
Josephine Baker,1906
Kathy Baker,
Kenny Baker,1912
Ruby Baker,
Stanley Baker,1927
Tom Baker,1935
Bob Balaban,1965
Jill Balcon,1925
Rebecca Balding,
Adam Baldwin,
Alec Baldwin,195x
Daniel Baldwin,
Stephen Baldwin,1963+
William Baldwin,1963
Betty Balfour,1903
Mireille Balin,1909
Florinda Balkan,
Lucille Ball,1910
Vincent Ball,*
Kay Ballard,1926
Martin Balsam,1919
Anne Bancroft,1931
George Bancroft,1882
Antonio Banderas,1960
Victor Banerjee,
Donatas Banionis,
Alex Bank,
Tallulah Bankhead,1902
Aaron Banks,
Leslie Banks,1890
Vilma Banky,1902
Ian Bannen,1928
John Banner,1910
Theda Bara,1890
Olga Baraclanova,
Christine Baranski,
Vanna Barba,1967
Adrienne Barbeau,1949
George Barbier,1865
Joyce Barbour,
Brigitte Bardot,1933
Mijanou Bardot,
Sonny Barger,
Lynn Bari,1915
Norah Baring,1907
Erik Barker,1912
Ronnie Barker,1929
Lex Barker,
Ellen Barkin,1954
Marcie Barkin,
Mikhail Barishnikov,
Binnie Barnes,1905
Jake Barnes,
Joanna Barnes,1934
Julian Barnes,
Priscilla Barnes,
Charlie Barnett,
Nella Barnier,
Sandy Baron,
Pierre Barouh,
Maria Barranco,
JeanLouis Barrault,1910
MarieChristine Barrault,1944
Edith Barrett,1907
Judith Barrett,1914
Barbara Barrie,
Mona Barrie,1909
Wendy Barrie,1912
Edgar Barrier,1906
Maurice Barrier,
George Barris,
Gene Barry,1921
Joan Barry,1903
Diana Barrymore,1921
Drew Barrymore,1976
Ethel Barrymore,1879
John Barrymore,1882
John Barrymore~jr.,1932
John Barrymore~III,
Lionel Barrymore,1878
Maurice Barrymore,
Paul Bartels,1940
Eddie Barth,
Richard Barthelmess,1895
Freddie Bartholomew,1924
Eve Bartok,1926
James Barton,1890
Richard Basehart,1915
Tony Basil,
Kim Basinger,1953
Count Basie,
Richard Baskin,
Alfie Bass,
Lina Basquette,1907
Albert Basserman,1867
Angela Bassett,1958
Steve Bassett,
Alexandra Bastedo,1946
Alan Bates,1934
Barbara Bates,
Florence Bates,1888
Kathy Bates,1958
Michael Bates,1920
Belinda Bauer,
Steven Bauer,
Harry Baur,1880
Barbara Baxley,
Alan Baxter,1908
Anne Baxter,1923
Jane Baxter,1909
Warner Baxter,1889
Sarah Bay,
Nathalie Baye,
Gary Bayer,
Geoffrey Bayldon,1924
Stephanie Beacham,1949
John Beal,1909
Jennifer Beals,
Emanuelle Beart,1965
The Beatles,n.a.
Ned Beatty,1937
Robert Beatty,1909
Warren Beatty,1937
Louise Beavers,1902
John C. Becher,
Sidney Bechet,1892
Jenny Beck,1974
John Beck,1943
Kimberly Beck,
Michael Beck,1948
Stanley Beck,
Barry Beckerman,
Scotty Beckett,1929
Reginald Beckwith,1908
Don Beddoe,1888
Bonnie Bedelia,1946
Kabir Bedi,1935
Alfonso Bedoya,1904
Molly Bee,
Noah Beery,1884
Noah Beery~jr.,1913
Wallace Beery,1880
Hagan Beggs,
Ed Begley,1901
Ed Begley~jr.,
Harry Belafonte,1927
Charles Belcher,
Barbara BelGeddes," 1927"
Ann Bell,
James Bell,1891
Marie Bell,1900
Rex Bell,1905
Tom Bell,1933
Madge Bellamy,1903
Ralph Bellamy,1904
Harry Bellaver,1905
Kathleen Beller,1955
Agostina Belli,
Olga Bellin,
JeanPaul Belmondo,1933
Belmonts,
Lionel Belmore,1867
Richard Beltran,
Robert Beltran,
Jim Belushi,
John Belushi,1949
Richard Belzer,
Pat Benatar,
Brian Benben,
Robert Benchley,1889
William Bendix,1906
Billy Benedict,1906
Dirk Benedict,1945
Paul Benedict,
Richard Benedict,1916
Annette Bening,
Richard Benjamin,1938
Alma Bennett,1889
Barbara Bennett,1902
Belle Bennett,1891
Bruce Bennett,1909
Constance Bennett,1904
Hywel Bennett,1944
Jill Bennett,1944
Joan Bennett,1910
Joe Bennett,
John Bennett,1928
