movieId,starName
AA13,Leslie Howard
AA13,Wendy Hiller
AA13,Wilfrid Lawson
AA13,Scott Sunderland
AA13,Marie Lohr
AA13,Iris Hoey
AA13,David Tree
AA13,Esme Percy
AA13,Everley Gregg
AA13,O.B. Clarence
AA13,Jean Cadell
AA14,Ray Milland
AA14,Ellen Drew
AA14,Guy Middleton
AA14,Ronald Culver
AA16,Margaret Lockwood
AA16,Derek Farr
AA16,A.E. Matthews
AA16,Marjorie Fielding
AA16,Athene Seyler
AA16,Peggy Ashcroft
AA16,Margaretta Scott
AA16,Bernard Miles
AA29,Michael Redgrave
AA29,Michael Denison
AA29,Edith Evans
AA29,Margaret Rurtherford
AA29,Joan Greenwood
AA29,Miles Malleson
AA29,Doroty Tutin
AA29,Walter Hudd
AA37,Dirk Bogarde
AA37,Olivia deHavilland
AA37,Paul Massie
AA37,Wilfrid Hyde White
AA37,Robert Morley
AA37,Anthony Dawson
AA37,Richard Wattis
AA37,Martin Miller
AA37,Millicent Martin
AA38,Peter Sellers
AA38,Sophia Loren
AA38,Alastair Sim
AA38,Vittorio deSics
AA38,Dennis Price
AA38,Gary Raymond
AA38,Alfie Bass
AA41,Richard Burton
AA41,Elizabeth Taylor
AA41,Maggie Smith
AA41,Rod Taylor
AA41,Margaret Rutherford
AA41,Louis Jordon
AA41,Elsa Martinelli
AA41,Orson Welles
AA41,Linda Chistian
AA41,Dennis Price
AA41,Richard Wattis
AA41,David Frost
AA41,Robert Coote
AA41,Joan Benham
AA41,Michael Hodern
AA41,Lance Percival
AA41,Martin Miller
AaB10,Michael Palin
AaB10,Maggie Smith
AaB10,Denholm Elliott
AaB10,Richard Griffiths
AaB10,Tony Haygarth
AaB10,Liz Smith
AaB10,John Normington
AaB10,s a
AAd10,sa
AAd10,Eddie Murphy
AAd10,Cameron Diaz
AAd10,sa
AAd10,sa
AAd10,Vicki Jenson
AAd10,Kathleen Freeman
AAh10,Gibson Frazier
AAl6,Alan Alda
AAl6,Carol Burnett
AAl6,Len Cariou
AAl6,Sandy Dennis
AAl6,Rita Moreno
AAl6,Jack Weston
AAl6,Bess Armstrong
AAl10,Alan Alda
AAl10,Michael Caine
AAl10,Michelle Pfeiffer
AAl10,Bob Hoskins
AAl10,Lise Hilboldt
AAl10,Lillian Gish
AAl10,Saul Rubinek
AAl10,Lois Chiles
AAl20,Molly Ringwald
AAl20,Alan Alda
AAl20,Joey Bishop
AAl20,Madeleine Kahn
AAl20,Ally Sheedy
AAl20,Anthony LaPaglia
AAl20,Julie Bovassa
AAl20,Joe Pesci
AAl20,Catherine OHara
AAl20,Dylan Walsh
AAl20,Burt Young
AAn10,Brooke Adams
AAn10,Ione Skye
AAn10,Faraizu Baik
AAn10,Donovan Leitch
AAn12,Angel Avilea
AAn12,Seidy Lopez
AAn12,Jacob Vargas
AAn14,Tim Roth
AAn14,Sammi Davis
AAn14,Amanda deCadenet
AAn14,Madonna
AAn14,Lili Taylor
AAn14,Davis Proval
AAn14,Jennifer Beals
AAn14,Antonio Banderas
AAn14,Tamlyn Tomita
AAn14,Danny Verduzo
AAn14,Lana McKissack
AAn14,Patricia Vonne Rodriguez
AAn14,Quentin Tarantino
AAn14,Bruce Willis
AAn14,Alicia Witt
AAr10,P.J. Sales
AAr10,Vincent VanPatten
AAr10,Clint Howard
AAr10,The Ramones
AAr10,Paul Bartel
AAr10,Mary Woronov
AAr10,Alix Elias
AAr20,Andy Kaufman
AAr20,Bernadette Peters
AAr20,Randy Quaid
AAr20,Melanie Mayron
AAS10,Jack Wayne
AAS10,Jack Coleman
AAS10,Craig Wasson
AAS10,Kay Lenz
AAS10,Sigrid Thornton
AAS10,Kevin Colsonn
AAt10,Gaston Batyi
AAt10,Jose Sacristan
AAt10,Frederico Luppi
AAt10,Cecilia Roth
AAt10,Leonor Benedetto
AB2,Thais Galizky
AbA10,Francesca Bertini
AbA10,Gustavo Serena
AbA10,Alfredo DeAntoni
AbA10,Lido Manetti
AbA10,Nella Montagna
AbA10,Vittorio DeSica
ABd4,Richard Boone
ABd4,Theodore Bikel
ABe10,Georges duFresne
AbF10,Zoe Tamerlis
AbF10,Steve Singer
AbF10,Jack Thibeau
AbF10,Peter Yellen
AbF20,Christopher Walken
AbF25,Harvey Keitel
AbF25,Zoe Lund
AbF25,Frankie Thorn
AbF26,Madonna
AbF26,Harvey Keitel
AbF26,James Russo
AbF27,Gabrielle Anwar
AbF27,Terry Kinney
AbF27,Meg Tilly
AbF27,Reilly Murphy
AbH1,s a
AbH1,s a
AbH1,s a
ABi10,Faye Dunaway
ABi10,Klaus Maria Brandauer
ABi10,David Ebbets
ABi10,Ian Richardson
ABi10,John Nettleton
ABi10,N. Ottering
ABi20,Andrew Robertson
ABi20,Sinead Cusack
ABi20,Charlotte Gainsbourg
AbK15,Homayoun Ershadi
AbK15,s a
AbK15,s a
AbK15,s a
ABl10,Sophia Loren
ABl10,Vittorio deSica
ABl10,Marcello Mastroianni
ABn1,Melanie Griffith
ABo10,Michael Riley
ABo10,Stephen Rappaport
ABo10,s a
AbP10,Clara Kimball Young
AbP10,Gareth Hughes
AbP10,Pauline Starke
AbP10,Sam Sothern
AbP10,Milton Sills
AbP10,Rudolfo Valentino
AbP50,Basil Sidney
AbP50,James Mason
AbP50,Enid StampTaylor
AbP50,Barbara Greene
ABr1,Albert Brooks
ABr1,Frances Lee McCain
ABr1,s a
ABr1,Charles Grodin
ABr2,Albert Brooks
ABr2,Kathryn Harrold
ABr2,Bruno Kirby
ABr2,James L. Brooks
ABr2,Meadowlark Lemon
ABr2,George Kennedy
ABr2,Super Dave Osborne
ABr3,Albert Brooks
ABr3,Julie Hagerty
ABr3,Garry K. Marshall
ABr3,Art Frankel
ABr4,Albert Brooks
ABr4,Lee Grant
ABr4,s a
ABr4,Meryl Streep
ABr4,Rip Torn
ABr4,Shirley MacLaine
ABr7,Debbie Reynolds
ABr7,s a
ABr9,Jennifer Tilly
ABu10,Mary Tyler Moore
ABu10,Ted Danson
ABu10,Christine Lahti
ABu10,Sam Waterston
ABu10,Salome Jens
ABW40,Robert Montgomery
ABW40,Constance Cummings
ABW40,Seymour Hicks
ABW40,Leslie Banks
ABW40,Robert Newton
ABW40,Googie Withers
ABW40,Frank Pettingell
ABz10,Jack Palance
ABz10,Richard Roundtree
ABz10,Ann Turkel
ABz10,Bo Svenson
ABz10,Rod Steiger
AC5,John Barrymore
AC5,Mary Astor
AC5,Warner Oland
AC5,Estelle Taylor
AC5,Myrna Loy
AC5,Phyllis Haver
AC5,Willard Louis
AC5,Montague Love
AC6,John Barrymore
AC6,Conrad Veidt
AC6,Marceline Day
AC6,Mack Swain
AC6,Slim Summerville
AC7,Anna May Wong
AC7,Sojin
AC8,Al Jolson
AC8,May McAvoy
AC8,Warner Oland
AC8,Eugenie Besserer
AC8,Otto Lederer
AC9,Conrad Nagel
AC9,Dolores Costello
AC9,John Miljan
AC9,Marc McDermott
AC9,Betty Blythe
AC9,Paul Panzer
AC9,Michael Vavitch
AC9,Pasquale Amato
AC20,Edmund Lowe
AC20,Valerie Hobson
AC20,Vera Engels
AC20,Henry Mollison
AC20,Lumsden Hare
AC20,Spring Byington
AC20,Charles Waldron
AC20,Dwight Frye
ACa40,Leslie Banks
ACa40,Elizabeth Allen
ACa40,Frank Lawton
ACa40,Basil Sidney
ACa40,Valerie Taylor
ACa40,Mervyn Johns
ACa40,Edward Rigby
ACa40,Marie Lohr
ACa40,C.V. France
ACa40,David Farrar
ACa50,Mervyn Jones
ACa50,Roland Culver
ACa50,Mary Merrall
ACa50,Judy Kelly
ACa50,Anthony Baird
ACa50,Miles Malleson
ACa50,Sally Ann Howes
ACa50,Frederick Valk
ACa50,Googie Withers
ACa50,Ralph Michael
ACa50,Esm\'e Percy
ACa50,Basil Radford
ACa50,Naunton Wayne
ACa50,Michael Redgrave
ACa50,Hartley Power
ACa50,Frederick Valk
ACa50,Elizabeth Welch
ACa60,Derek Bond
ACa60,Cedric Hardwicke
ACa60,Alfred Drayton
ACa60,Sybil Thorndyke
ACa60,Stanley Holloway
ACa60,Sally Ann Howes
ACa60,Jill Balcon
ACa60,Cyril Fletcher
ACa60,Fay Compton
ACa60,s a
ACa60,s a
ACf10,Cameron Finley
ACf10,Christopher McDonald
ACf10,Janine Turner
ACf10,Erik vonDetten
AcG10,Pina Menichelli
ACj110,Myron McCormick
ACj110,Frankie Darro
ACj110,Linda Lawson
ACj110,Pat Harrington~jr.
ACj110,Will Kuluva
ACj110,Leonard Weinrib
ACj110,Edmon Ryan
ACj110,William Sharon
ACj111,Robert Loggia
ACj111,Doris Dowling
ACj111,Will Kuluva
ACj111,Wolfe Barzell
ACj111,Monica May
ACj112,Arthur Hill
ACj112,R.G. Armstrong
ACj112,Rod Cameron
ACj113,Rip Torn
ACj113,Mary Munday
ACj113,Ken Patterson
ACj113,Florence McMichael
ACj113,Harry Swooger
ACj113,Don Keefer
ACj113,Frank Sully
ACj113,Bert Freed
ACj114,Lee Phillips
ACj114,Gia Scala
ACj114,Les Tremaye
ACj114,Ann Stanton
ACj114,Russell Collins
ACj115,Peter Falk
ACj115,Paul Hartman
ACj115,Edmund Haskin
ACj115,John Dennis
ACj115,Bert Rensen
ACj115,Karl Lukas
ACj115,Ada Stewart
ACj115,Phil Gordon
ACj115,Clegg Hoyt
ACj116,Susan Harrison
ACj117,John Emery
ACj117,Jo vanFleet
ACj117,Alice Frost
ACj118,Paul Ford
ACj118,Billy Gray
ACj118,Frank Maxwell
ACj119,Anne Francis
ACj119,Edmund Hashim
ACj119,Jack Ging
ACj120,Duke Howard
ACj120,Burt Brinckerhoff
ACj121,Robert Redford
ACj121,Russell Collins
ACj121,George Clarke
ACj121,Joby Baker
ACj121,Bernard Kates
ACj121,King Calder
ACj121,Bob Karnes
ACj121,Bert Remsen
ACj121,Harry Swoger
ACj122,Barbara Baxley
ACj122,Ted Newton
ACj122,Robert Loggia
ACj122,Richard Gaines
ACj123,Lola Allbright
ACj123,Charles Bronson
ACj124,Mark Miller
ACj124,Vivienne Segal
ACj124,Pat Breslin
ACj125,Brian Hutton
ACj125,Anne Helm
ACj125,Wayne Rogers
ACj126,Brian Keith
ACj126,Patricia Breslin
ACj126,Claudia Cravey
ACj127,Robert Sterling
ACj127,Billy Mumy
ACj127,MacDonald Carey
ACj127,Peggy McKay
ACj127,s a
ACj128,Michael Wilding
ACj128,Anna Lee
ACj128,Katherine Crawford
ACj128,Randy Boone
ACj128,James Anderson
ACj128,Jesse Jacobs
ACj128,Frank Albertson
ACj128,Russ Conway
ACj128,Karl Lukas
ACj128,Rose Montiel
ACl10,George Costigan
ACl10,Siobhan Finneran
ACl10,Michelle Holmes
ACl10,Lesley Sharp
ACl10,Kulvinder Ghir
ACt10,Marshall Thompson
ACu15,Laura Dern
ACu15,Alan Rickman
ACu15,Diane Ladd
ACu20,Liesel Mathews
ACu20,Eleanor Brown
ACu23,Gwyneth Paltrow
ACu23,E-than Hawke
ACu23,Robert deNiro
ACu23,Anne Bancroft
ACu27,Diego Luna
ACu27,Gael Garcia Bernal
ACu27,Maribel Verdu
ACu27,sa
ACu27,sa
ACv10,Catherine Mouchet
ACv10,Aurore Prieto
ACv10,Sylvie Habault
ACx10,Harry Dean Stanton
ACx10,Emilio Estevez
ACx10,Tracey Walker
ACx10,Vonetta McGee
ACx10,Fox Harris
ACx12,Gary Oldman
ACx12,Chloe Webb
ACx12,David Hayman
ACy10,Pierre Brasseur
ACy10,Anouk Aimee
ACy10,Serge Reggiani
ACy14,Claude Noiller
ACy14,Valentine Tessier
ACy20,Curt Jurgens
ACy20,Folco Lulli
ACy20,Lea Padovani
ACy38,Jean Gabin
ACy38,Sophia Loren
ACy38,Henri Garcin
ACy38,Julien Bertheau
AD40,Semyon Shaigada
AD40,Stepan Shkurat
AD40,Sergei Stolyarov
ADA10,Lyda Bonelli
ADA10,Mario Bonnard
AdB21,Ivor Novello
AdB21,Mary Clare
AdB21,Mabel Poulton
AdB21,Benita Hume
ADg10,Christopher Dienstag
ADg10,Monica Caldwell
AdI15,Rosie Perez
AdI15,Javier Pardem
AdI15,James Gandolfini
AdI15,Screamin' Jay Hawkins
AdI15,s a
AdI15,s a
AdL5,Jennifer Beale
AdL5,Michael Nouri
AdL5,Lilia Skala
AdL5,Sunny Johnson
AdL5,Kyle T. Hefner
AdL5,Belinda Bauer
AdL5,Irine Cara
AdL6,Kim Basinger
AdL6,Mickey Rourke
AdL6,Margaret Whitton
