id	name	birthYear
148258830	asdf	NULL
nm0000001	Fred Astaire	1899
nm0000008	Marlon Brando	1924
nm0000017	Marlene Dietrich	1901
nm0000018	Kirk Douglas	1916
nm0000032	Charlton Heston	1923
nm0000035	James Horner	1953
nm0000041	Akira Kurosawa	1910
nm0000056	Paul Newman	1925
nm0000062	Elvis Presley	1935
nm0000063	Anthony Quinn	1915
nm0000083	Alan Miller	NULL
nm0000084	Li Gong	1965
nm0000090	Armin Mueller-Stahl	1930
nm0000091	GÃƒÂ©rard PirÃƒÂ¨s	1942
nm0000092	John Cleese	1939
nm0000093	Brad Pitt	1963
nm0000095	Woody Allen	1935
nm0000097	Pamela Anderson	1967
nm0000098	Jennifer Aniston	1969
nm0000099	Patricia Arquette	1968
nm0000100	Rowan Atkinson	1955
nm0000101	Dan Aykroyd	1952
nm0000102	Kevin Bacon	1958
nm0000103	Fairuza Balk	1974
nm0000104	Antonio Banderas	1960
nm0000105	Adrienne Barbeau	1945
nm0000106	Drew Barrymore	1975
nm0000107	Kim Basinger	1953
nm0000108	Luc Besson	1959
nm0000110	Kenneth Branagh	1960
nm0000111	Matthew Broderick	1962
nm0000112	Pierce Brosnan	1953
nm0000113	Sandra Bullock	1964
nm0000114	Steve Buscemi	1957
nm0000115	Nicolas Cage	1964
nm0000116	James Cameron	1954
nm0000117	Neve Campbell	1973
nm0000118	John Carpenter	1948
nm0000119	Tia Carrere	1967
nm0000120	Jim Carrey	1962
nm0000121	Phoebe Cates	1963
nm0000123	George Clooney	1961
nm0000124	Jennifer Connelly	1970
nm0000126	Kevin Costner	1955
nm0000127	Wes Craven	1939
nm0000128	Russell Crowe	1964
nm0000129	Tom Cruise	1962
nm0000130	Jamie Lee Curtis	1958
nm0000131	John Cusack	1966
nm0000132	Claire Danes	1979
nm0000133	Geena Davis	1956
nm0000134	Robert De Niro	1943
nm0000136	Johnny Depp	1963
nm0000137	Bo Derek	1956
nm0000138	Leonardo DiCaprio	1974
nm0000139	Cameron Diaz	1972
nm0000140	Michael Douglas	1944
nm0000141	David Duchovny	1960
nm0000142	Clint Eastwood	1930
nm0000143	Erika Eleniak	1969
nm0000145	Sherilyn Fenn	1965
nm0000146	Ralph Fiennes	1962
nm0000147	Colin Firth	1960
nm0000148	Harrison Ford	1942
nm0000149	Jodie Foster	1962
nm0000150	Michael J. Fox	1961
nm0000151	Morgan Freeman	1937
nm0000152	Richard Gere	1949
nm0000153	Gina Gershon	1962
nm0000154	Mel Gibson	1956
nm0000155	Whoopi Goldberg	1955
nm0000156	Jeff Goldblum	1952
nm0000157	Linda Hamilton	1956
nm0000158	Tom Hanks	1956
nm0000159	Teri Hatcher	1964
nm0000160	Ethan Hawke	1970
nm0000161	Salma Hayek	1966
nm0000162	Anne Heche	1969
nm0000163	Dustin Hoffman	1937
nm0000164	Anthony Hopkins	1937
nm0000165	Ron Howard	1954
nm0000166	Helen Hunt	1963
nm0000167	Elizabeth Hurley	1965
nm0000168	Samuel L. Jackson	1948
nm0000169	Tommy Lee Jones	1946
nm0000170	Milla Jovovich	1975
nm0000171	Ashley Judd	1968
nm0000172	Harvey Keitel	1939
nm0000173	Nicole Kidman	1967
nm0000174	Val Kilmer	1959
nm0000175	Stephen King	1947
nm0000176	Nastassja Kinski	1961
nm0000177	Kevin Kline	1947
nm0000178	Diane Lane	1965
nm0000179	Jude Law	1972
nm0000182	Jennifer Lopez	1969
nm0000183	Traci Lords	1968
nm0000185	Dolph Lundgren	1957
nm0000186	David Lynch	1946
nm0000187	Madonna	1958
nm0000188	Steve Martin	1945
nm0000189	Jenny McCarthy	1972
nm0000190	Matthew McConaughey	1969
nm0000191	Ewan McGregor	1971
nm0000193	Demi Moore	1962
nm0000194	Julianne Moore	1960
nm0000195	Bill Murray	1950
nm0000196	Mike Myers	1963
nm0000197	Jack Nicholson	1937
nm0000198	Gary Oldman	1958
nm0000199	Al Pacino	1940
nm0000200	Bill Paxton	1955
nm0000201	Michelle Pfeiffer	1958
nm0000202	Ryan Phillippe	1974
nm0000204	Natalie Portman	1981
nm0000205	Parker Posey	1968
nm0000206	Keanu Reeves	1964
nm0000207	Christina Ricci	1980
nm0000209	Tim Robbins	1958
nm0000210	Julia Roberts	1967
nm0000211	Mimi Rogers	1956
nm0000213	Winona Ryder	1971
nm0000214	Mia Sara	1967
nm0000215	Susan Sarandon	1946
nm0000216	Arnold Schwarzenegger	1947
nm0000217	Martin Scorsese	1942
nm0000218	Kristin Scott Thomas	1960
nm0000219	Steven Seagal	1952
nm0000221	Charlie Sheen	1965
nm0000223	Elisabeth Shue	1963
nm0000224	Alicia Silverstone	1976
nm0000225	Christian Slater	1969
nm0000226	Will Smith	1968
nm0000227	Mira Sorvino	1967
nm0000228	Kevin Spacey	1959
nm0000229	Steven Spielberg	1946
nm0000230	Sylvester Stallone	1946
nm0000231	Oliver Stone	1946
nm0000232	Sharon Stone	1958
nm0000233	Quentin Tarantino	1963
nm0000234	Charlize Theron	1975
nm0000235	Uma Thurman	1970
nm0000236	Jennifer Tilly	1958
nm0000237	John Travolta	1954
nm0000239	Liv Tyler	1977
nm0000241	Jean-Claude Van Damme	1960
nm0000242	Mark Wahlberg	1971
nm0000243	Denzel Washington	1954
nm0000244	Sigourney Weaver	1949
nm0000245	Robin Williams	1951
nm0000246	Bruce Willis	1955
nm0000249	James Woods	1947
nm0000250	RenÃƒÂ©e Zellweger	1969
nm0000251	Timothy Dowling	1973
nm0000255	Ben Affleck	1972
